"","x"
"HIVEP3",0.559855584001893
"FOXJ3",0.255364916168947
"RP11-223A3.1",0.812876428602825
"RIMKLA",0.877133628731321
"ZMYND12",0.323806894595044
"PPCS",0.374850759807027
"CCDC30",0.616457944416545
"PPIH",0.381507073413383
"RP5-994D16.3",0.77625932978235
"YBX1",0.380585111841672
"P3H1",0.322584087297361
"C1orf50",0.460646196842164
"RP5-994D16.9",0.621304675353736
"RP5-994D16.11",0.579774861590607
"SVBP",0.719939217225794
"ERMAP",0.621948763920951
"RP11-342M1.3",0.772268497239877
"ZNF691",0.310041743885864
"SLC2A1",0.63557503531329
"EBNA1BP2",0.113193531393456
"TIE1",0.649231655745209
"MPL",0.865701262798921
"RP1-92O14.3",0.643918804471038
"CDC20",0.77389343223134
"ELOVL1",0.259438462952629
"RP1-92O14.6",0.737399144517696
"MED8",0.389374935910186
"SZT2",0.580219095318131
"PTPRF",0.493272546026927
"KDM4A",0.531152610049418
"ST3GAL3",0.263940843679471
"KDM4A-AS1",0.553190929267666
"ARTN",0.653704111652134
"RP11-7O11.3",0.759476123304324
"IPO13",0.259414048441042
"DPH2",0.204227920493477
"ATP6V0B",0.234161094802066
"B4GALT2",0.426373770609674
"CCDC24",0.68799229306501
"SLC6A9",0.457875951246453
"DMAP1",0.395909361624625
"ERI3",0.289516892269021
"RNF220",0.33548042225303
"TMEM53",0.453088071658062
"C1orf228",0.626144447774763
"KIF2C",1.00338797077456
"RPS8",0.364689345164964
"RPS15AP11",0.961904238050832
"BEST4",0.571771154911661
"PLK3",0.463859261280522
"TCTEX1D4",0.474883831925434
"BTBD19",0.584621410845109
"PTCH2",0.487806150489978
"RP5-882O7.1",0.859484707115524
"EIF2B3",0.348330942991277
"HECTD3",0.444443173873296
"UROD",0.337361599393593
"LINC01144",0.497821386651461
"ZSWIM5",0.621315271502944
"HPDL",0.693989731179946
"MUTYH",0.536992345362569
"TOE1",0.677036068623896
"TESK2",0.371428085372596
"CCDC163",0.699994831261097
"MMACHC",0.224576403557599
"PRDX1",0.348082869789698
"AKR1A1",0.260519468357885
"NASP",0.379691958116415
"CCDC17",0.397911491051221
"RPS15AP10",0.721543620537124
"RP11-767N6.2",0.608941952209979
"GPBP1L1",0.565764019465468
"TMEM69",0.390386727187822
"RP11-767N6.7",0.562146066427923
"IPP",0.388761967959739
"MAST2",0.433261295389426
"PIK3R3",0.525599311808911
"TSPAN1",0.446816531654779
"POMGNT1",0.355180612264419
"LURAP1",0.759376226302055
"RAD54L",0.777696288459615
"LRRC41",0.325896634668115
"UQCRH",0.262901691337833
"NSUN4",0.430133183285297
"FAAH",0.303357149766563
"FAAHP1",0.497124633538222
"MKNK1-AS1",0.678463448153615
"MKNK1",0.230208326369701
"MOB3C",0.449737253288194
"ATPAF1",0.151802104749864
"EFCAB14",0.218033452979519
"CYP4B1",0.334665385452368
"CYP4A11",0.764556414236992
"CYP4X1",0.386199910375118
"CYP4Z1",0.582437645635133
"LINC00853",0.503433415892189
"PDZK1IP1",0.753273540391602
"RP1-18D14.7",0.709723034041536
"TAL1",0.651016863440428
"STIL",0.661476379369684
"CMPK1",0.269977746071737
"FOXD2-AS1",0.466477725416733
"FOXD2",0.635424362792138
"TRABD2B",0.620083108503208
"SKINT1L",0.755571353188696
"SLC5A9",0.722629337880343
"RP5-1024N4.4",0.640591643819186
"SPATA6",0.276995209962443
"BEND5",0.270956421275598
"RP11-183G22.1",0.882809938578741
"PHBP12",0.86493085927616
"FAF1",0.456444090437049
"CDKN2C",0.351539185290391
"RNF11",0.352283359297516
"RP11-296A18.5",0.859046343577652
"TTC39A",0.49440008779589
"RP11-191G24.1",0.5270727246119
"EPS15",0.396271583377716
"OSBPL9",0.363465072085521
"RP4-657D16.3",0.528585720712198
"NRDC",0.359977662314959
"KTI12",0.409097738444152
"TXNDC12",0.230857310955935
"BTF3L4",0.190435137198517
"ZFYVE9",0.189938245656414
"RP4-800M22.1",0.547797012063236
"CC2D1B",0.176934348573926
"PLA2G12AP1",0.887930946846841
"ORC1",0.450012135290995
"PRPF38A",0.548002709313005
"ZCCHC11",0.29748800428064
"GPX7",0.791845974762336
"FAM159A",0.681701858001528
"COA7",0.281534140644278
"ZYG11B",0.243826625609296
"RPS13P2",0.929825731231421
"RP4-631H13.6",0.513687013965309
"ECHDC2",0.194852630105793
"SCP2",0.108837862928347
"PODN",0.411907324733817
"SLC1A7",0.258802294330076
"CPT2",0.223940603809289
"C1orf123",0.343225448792184
"MAGOH",0.438555011994712
"RP5-1024G6.5",0.699651688379751
"LRP8",0.388883602269572
"NDC1",0.251558455422433
"YIPF1",0.321838024106182
"HSPB11",0.568566015463317
"LRRC42",0.531590477199723
"RP4-758J24.6",0.524967877527402
"TMEM59",0.479293048866609
"TCEANC2",0.341073206183436
"MRPL37",0.258723231226146
"CYB5RL",0.287536887928787
"SSBP3-AS1",0.606889495930874
"SSBP3",0.580875407111339
"ACOT11",0.34256264372604
"FAM151A",0.502888565810465
"MROH7",0.386099763752981
"TTC4",0.361281718733266
"PARS2",0.354742451547358
"DHCR24",0.427892165235271
"TMEM61",0.646683974308389
"USP24",0.165632627149528
"RP11-504A18.1",0.439702915985494
"PLPP3",0.43051741089548
"PRKAA2",0.284377926490636
"C1orf168",0.45134139565793
"OMA1",0.231008086502228
"TACSTD2",0.867961255576212
"RP4-592A1.2",0.959618127646308
"MYSM1",0.34881082290756
"JUN",0.624221734297516
"LINC01135",0.810399004771177
"RP4-794H19.1",0.71608448438265
"LINC01358",0.5564615485329
"FGGY",0.376944677326315
"RP4-782L23.2",0.491690377624733
"HOOK1",0.66173923311819
"CYP2J2",0.303696731736124
"NFIA",0.5812726030723
"TM2D1",0.511021956363231
"RP11-430G17.3",0.746374879027575
"PATJ",0.289103884205405
"KANK4",0.671324988362329
"USP1",0.362811502005816
"DOCK7",0.383272159482294
"ATG4C",0.297600615081458
"FOXD3-AS1",0.698732591616331
"FOXD3",0.75971213097756
"ALG6",0.346167726915009
"EFCAB7",0.363201856855897
"ITGB3BP",0.727304702220932
"DLEU2L",0.387657752382966
"PGM1",0.348967570583074
"RN7SL130P",0.536459144224512
"ROR1",0.744099527316227
"CACHD1",0.631648383874199
"RAVER2",0.248728836744032
"JAK1",0.260949914524302
"SLC2A3P2",0.669567215794455
"LINC01359",0.541838458596961
"RP4-535B20.4",0.615261439823025
"AK4",0.290914431668358
