"","source_variances"
"SLC6A9",0.344901153511519
"DMAP1",0.209261541700608
"ERI3",0.394024016727382
"RNF220",0.468784785153744
"TMEM53",0.431741516970794
"C1orf228",0.595037614019643
"KIF2C",0.666960876061105
"RPS8",0.425638642196406
"RPS15AP11",0.798382683273573
"BEST4",0.723556484715169
"PLK3",0.418186424699689
"TCTEX1D4",0.596443794786236
"BTBD19",0.624074881413966
"PTCH2",0.423098387478636
"RP5-882O7.1",0.82732759310516
"EIF2B3",0.309608429953832
"HECTD3",0.195419050054485
"UROD",0.305735385088519
"LINC01144",0.522297967887073
"ZSWIM5",0.473572313302574
"HPDL",0.638204245988528
"MUTYH",0.375880990004356
"TOE1",0.513916846112253
"TESK2",0.432235325322295
"CCDC163",0.56514455912706
"MMACHC",0.300032670319891
"PRDX1",0.289595395339124
"AKR1A1",0.298946828594335
"NASP",0.69029404649904
"CCDC17",0.400297059513845
"RPS15AP10",0.59722300314791
"RP11-767N6.2",0.567198033773545
"GPBP1L1",0.591723549832707
"TMEM69",0.350119770772883
"RP11-767N6.7",0.662524994318643
"IPP",0.32154406329909
"MAST2",0.316089374683053
"PIK3R3",0.791145916950826
"TSPAN1",0.650385722358471
"POMGNT1",0.347268956474616
"LURAP1",0.720074868058533
"RAD54L",0.582637650043599
"LRRC41",0.303300973758498
"UQCRH",0.37794888245897
"NSUN4",0.37431195055026
"FAAH",0.301653246872014
"FAAHP1",0.671539883311368
"MKNK1-AS1",0.451003967169682
"MKNK1",0.200164595642229
"MOB3C",0.453158541882318
"ATPAF1",0.269601605592109
"EFCAB14",0.298718715011018
"CYP4B1",0.351320052542476
"CYP4A11",0.531838188777387
"CYP4X1",0.537122411087463
"CYP4Z1",0.577315926190969
"LINC00853",0.748939593901177
"PDZK1IP1",0.683423706993274
"RP1-18D14.7",0.716746281792355
"TAL1",0.579789820942229
"STIL",0.546433080484881
"CMPK1",0.242961422124773
"FOXD2-AS1",0.430325208047614
"FOXD2",0.505550632601811
"TRABD2B",0.474879749795144
"SKINT1L",0.647067007168299
"SLC5A9",0.436409289673898
"RP5-1024N4.4",0.597995375114242
"SPATA6",0.355220632292807
"BEND5",0.47491006288799
"RP11-183G22.1",0.711643428255883
"PHBP12",0.862593247239994
"FAF1",0.173013987829437
"CDKN2C",0.656524437552223
"RNF11",0.243087874974118
"RP11-296A18.5",0.72771811972902
"TTC39A",0.431166281221715
"RP11-191G24.1",0.687270433043656
"EPS15",0.326228223791718
"OSBPL9",0.445828605824927
"RP4-657D16.3",0.67801927139907
"NRDC",0.377915209636778
"KTI12",0.483219618097358
"TXNDC12",0.275472463201527
"BTF3L4",0.255882001664567
"ZFYVE9",0.167081192867319
"RP4-800M22.1",0.833931085395767
"CC2D1B",0.365088543770727
"PLA2G12AP1",0.763030324876396
"ORC1",0.780518364069292
"PRPF38A",0.45288505329655
"ZCCHC11",0.467287683634318
"GPX7",0.832618413058095
"FAM159A",0.647355775449308
"COA7",0.282333291559247
"ZYG11B",0.319895591662668
"RPS13P2",0.80098560190192
"RP4-631H13.6",0.279940651702235
"ECHDC2",0.198323537772065
"SCP2",0.186988993282373
"PODN",0.360635033874882
"SLC1A7",0.547554105364551
"CPT2",0.34863980536859
"C1orf123",0.491643537433154
"MAGOH",0.496220198691177
"RP5-1024G6.5",0.518920075588935
"LRP8",0.392196936980301
"NDC1",0.349757526316397
"YIPF1",0.26498074877768
"HSPB11",0.560098114811207
"LRRC42",0.367462788442145
"RP4-758J24.6",0.456433362725232
"TMEM59",0.203130595510174
"TCEANC2",0.384149109623822
"MRPL37",0.124259763117342
"CYB5RL",0.351326362359337
"SSBP3-AS1",0.729820300804281
"SSBP3",0.536317852272342
"ACOT11",0.495873095628493
"FAM151A",0.730999110328492
"MROH7",0.433083026670025
"TTC4",0.666441295965384
"PARS2",0.618573801392809
"DHCR24",0.359637312683619
"TMEM61",0.706128487877083
"USP24",0.363589185107355
"RP11-504A18.1",0.571546335631493
"PLPP3",0.506857173420666
"PRKAA2",0.384488999649346
"C1orf168",0.584596189460224
"OMA1",0.295292459614927
"TACSTD2",0.229903292508086
"RP4-592A1.2",0.832197330440108
"MYSM1",0.251151607005504
"JUN",0.722813739050656
"LINC01135",0.724888041714137
"RP4-794H19.1",0.297105541990313
"LINC01358",0.500310492201002
"FGGY",0.694220471799174
"RP4-782L23.2",0.756420113321665
"HOOK1",0.279719410979669
"CYP2J2",0.576809127778765
"NFIA",0.400921684567247
"TM2D1",0.644030626588502
"RP11-430G17.3",0.64597140009175
"PATJ",0.410660784659502
"KANK4",0.521504914150288
"USP1",0.25436365555719
"DOCK7",0.312629118824405
"ATG4C",0.247522310056253
"FOXD3-AS1",0.677630153586325
"FOXD3",0.666489717018265
"ALG6",0.579290176033528
"EFCAB7",0.433793155285392
"ITGB3BP",0.714627520005667
"DLEU2L",0.471271598364696
"PGM1",0.234386162648234
"RN7SL130P",0.424597550771654
"ROR1",0.324761549856455
"CACHD1",0.451586713466073
"RAVER2",0.498359539544101
"JAK1",0.229855489488095
"SLC2A3P2",0.530612932010046
"LINC01359",0.395495608245144
"RP4-535B20.4",0.675318898077422
"AK4",0.483828692241622
"DNAJC6",0.541055940460449
"LEPROT",0.349974122355664
"LEPR",0.516405157705561
"PDE4B",0.505777303849399
"SGIP1",0.432724790048154
"TCTEX1D1",0.529424960274156
"WDR78",0.436370209131252
"MIER1",0.383959581658575
"SLC35D1",0.376911601830579
"IL12RB2",0.388830802828762
"SERBP1",0.189346240709176
"GADD45A",0.574879203999447
"GNG12-AS1",0.595306612143399
"GNG12",0.234586880113152
"DIRAS3",0.707370468125945
"CTBP2P8",0.628582822303945
"WLS",0.478302697587094
"LRRC7",0.68975656387214
"LRRC40",0.381854311561797
"SRSF11",0.279359100769325
"ANKRD13C",0.316934780739913
"HHLA3",0.514208362692976
"CTH",0.415035526410009
"RP11-42O15.3",0.590307565287183
"PTGER3",0.69429505581955
"ZRANB2",0.334188724380237
"NEGR1",0.356554178863908
"FPGT",0.420717174548407
"TNNI3K",0.635972422639672
"RP11-17E13.2",0.784696259983073
"CRYZ",0.503022418787469
"TYW3",0.522409905927946
"SLC44A5",0.723109409504463
"ACADM",0.282325579882726
"RP4-682C21.2",0.573453472022908
"RABGGTB",0.26111271564175
"MSH4",0.648862639297628
"ST6GALNAC3",0.614348815223903
"TPI1P1",0.819040906605447
"RP4-706A16.3",0.778242776944278
"PIGK",0.275338551921136
"ZZZ3",0.377733600205583
"USP33",0.395669032656128
"MIGA1",0.251505407590374
"RP11-181C21.4",0.762223089417375
"NEXN-AS1",0.843465295821289
"NEXN",0.455952672027227
"FUBP1",0.478718191017691
"DNAJB4",0.358954449099539
"RP11-386I14.4",0.800394268024781
"GIPC2",0.282313162173989
"PTGFR",0.682672238090782
"IFI44L",0.573564620121528
"IFI44",0.430667243502549
"ADGRL4",0.523358613258178
"ADGRL2",0.537872482299915
"TTLL7",0.54850224586522
"RP11-486G15.2",0.355850972611461
"PRKACB",0.338954407234919
"SAMD13",0.505024494954835
"UOX",0.655409480899356
"DNASE2B",0.562317490827702
"RPF1",0.303946461781085
"GNG5",0.207451854259831
"SPATA1",0.669204776136289
"CTBS",0.476315233286063
"SSX2IP",0.299617378967285
"MCOLN2",0.738779321192306
"MCOLN3",0.316296768095348
"RP11-33E12.2",0.474606084978503
"SYDE2",0.439645049473048
"C1orf52",0.365144725835458
"BCL10",0.430363943028368
"DDAH1",0.454558980373701
"CYR61",0.733430999141248
"ZNHIT6",0.559679149263979
"ODF2L",0.365987871364357
"RP4-612B15.3",0.84883278846538
"SH3GLB1",0.141366931871518
"SEP15",0.229673909737125
"HS2ST1",0.297299861036077
"LINC01140",0.436960549777576
"LMO4",0.568160640123429
"PKN2",0.260091764674438
"TCEB1P19",0.477122491055033
"GTF2B",0.339892444588168
"KYAT3",0.365021242317364
"RBMXL1",0.621792227944549
"GBP3",0.456793043351084
"GBP1",0.321398807820736
"PTGES3P1",0.681874480844417
"GBP2",0.280338969807239
"GBP4",0.52958019864401
"GBP5",0.541647050226989
"GBP6",0.785639267916475
"GBP1P1",0.540941130058105
"LRRC8B",0.251097634564342
"FLJ27354",0.645858538616343
"LRRC8C",0.449811869179159
"RP5-943J3.2",0.683619860601956
"LRRC8D",0.526144632635743
"GEMIN8P4",0.71108268902924
